step,total_energy,total_revenue
505,1360536.7759781783,187986.26045075821
506,1362698.58362962,188203.5221197281
507,1364860.3912810613,188420.783788698
508,1367022.1989325034,188750.67563630798
509,1369418.5145839453,189116.35340471801
510,1371814.8297663708,189482.03110155615
511,1374211.1449487975,189847.7087983945
512,1376607.460131224,190118.25278249045
513,1379229.4520122975,190414.27566586365
514,1381851.443893371,190710.29854923682
515,1384473.435774444,191006.32143261
516,1387095.4276555174,191179.11069757276
517,1389717.4195365908,191351.89996253548
518,1392339.411417664,191524.6892274982
519,1394961.4032987372,191697.47849246094
520,1397583.3951798107,191938.17734714347
521,1400205.387060884,192178.876201826
522,1402827.3789419571,192419.57505650853
523,1405449.3708230304,192660.2739111911
524,1408071.3627041038,193057.24348198558
525,1410693.3545851773,193454.21305278005
526,1413315.3464662505,193851.18262357454
527,1415937.3383473235,194248.15219436906
528,1418559.330228397,194534.47370778228
529,1421181.3221094704,194820.79522119547
530,1423803.3139905438,195107.11673460866
531,1426425.3058716168,195393.43824802188
532,1429047.2977526903,195821.34732301306
533,1431669.2896337637,196249.2563980042
534,1434291.281514837,196677.16547299537
535,1436913.2733959102,197105.0745479865
536,1439535.2652769836,197249.28410144555
537,1442157.2571580568,197393.49365490457
538,1444779.24903913,197537.7032083636
539,1447401.2409202033,197681.91276182263
540,1450023.2328012767,197941.2277588608
541,1452645.2246823502,198200.54275589896
542,1455267.2165634234,198459.85775293707
543,1457889.2084444964,198719.17274997523
544,1460511.2003255698,198870.98607988938
545,1463133.1922066433,199022.79940980353
546,1465755.1840877167,199174.61273971768
547,1468377.1759687897,199326.4260696318
548,1470999.1678498632,199497.37994027778
549,1473621.1597309366,199668.33381092377
550,1476033.7104364298,199825.63211692194
551,1478361.3475863852,199977.39405909902
552,1480688.984906168,200502.509038442
553,1483310.9767872414,201094.03040681215
554,1485932.9686683149,201685.5517751823
555,1488554.9605493878,202277.0731435524
556,1491176.9524304613,202848.9295728145
557,1493798.9443115348,203420.78600207658
558,1496420.936192608,203992.64243133867
559,1499042.9280736812,204564.49886060075
560,1501664.9199547544,205443.12833994842
561,1504286.9118358279,206321.7578192961
562,1506908.9037169013,207200.38729864376
563,1509530.8955979743,208079.01677799143
564,1512152.8874790478,209087.1726562641
565,1514774.8793601212,210095.3285345368
566,1517396.8712411944,211103.48441280948
567,1520018.8631222674,212111.64029108218
568,1522640.8550033409,212433.09649570176
569,1525262.8468844143,212754.55270032136
570,1527884.8387654878,213076.0089049409
571,1530506.8306465608,213397.46510956052
572,1532771.6389753355,213756.66371050416
573,1535350.804420776,214165.71935015102
574,1537929.9692375022,214574.7748900838
575,1540509.1340542294,214983.83043001674
576,1543088.298870957,215314.99519248458
577,1545677.0316876844,215647.38848615234
578,1548265.764485276,215979.7817773631
579,1550854.4972828673,216312.17506857385
580,1553443.2300804588,216621.528637886
581,1555855.0928780504,216909.7462421982
582,1558266.9560293818,217197.96388878225
583,1560678.8191807123,217486.1815353663
584,1563090.682332043,217633.78756022773
585,1565278.226483374,217767.6652622892
586,1567465.7710833428,217901.54299180728
587,1569653.3156833106,218035.42072132527
588,1571840.8602832784,218157.70446446352
589,1573956.0008832465,218275.9408240017
590,1576071.1416280223,218394.1771916347
591,1578186.2823727976,218512.41355926762
592,1580301.4231175734,218726.04277448994
593,1582405.914862349,218938.59644071228
594,1584510.4066284227,219151.15010908572
595,1586614.898394496,219363.70377745916
596,1588719.3901605697,219584.88586207345
597,1590793.7059266432,219802.8964490878
598,1592868.0217530688,220020.90704244512
599,1594942.337579494,220238.91763580244
600,1597016.6534059194,220533.47048315487
601,1599225.818232345,220847.17188850726
602,1601434.9827890724,221160.87325556256
603,1603644.1473458002,221474.57462261795
604,1605853.3119025282,221901.38521497778
605,1608342.5014592563,222382.2966373376
606,1610831.6904559343,222863.20795149577
607,1613320.879452613,223344.11926565418
608,1615810.0684492923,223571.63113995065
609,1618432.0603303656,223811.28119788077
610,1621054.052211439,224050.93125581084
611,1623676.0440925122,224290.58131374093
612,1626298.0359735854,224499.81626585056
613,1628920.027854659,224709.05121796025
614,1631542.0197357323,224918.28617006988
615,1634164.0116168053,225127.52112217955
616,1636786.0034978788,225549.39961584428
617,1639407.995378952,225971.27810950892
618,1642029.9872600255,226393.15660317364
619,1644651.9791410987,226815.03509683834
620,1647273.971022172,227135.44250470548
621,1649895.9629032454,227455.84991257265
622,1652517.9547843188,227776.2573204398
623,1655139.946665392,228096.66472830696
624,1657761.9385464652,228668.52115756905
625,1660383.9304275385,229240.37758683113
626,1663005.922308612,229812.2340160932
627,1665627.9141896851,230384.0904453553
628,1668249.9060707584,230811.99952034646
629,1670871.8979518318,231239.90859533765
630,1673493.8898329053,231667.8176703288
631,1676115.8817139782,232095.72674531996
632,1678737.8735950517,232227.08853856171
633,1681359.865476125,232358.4503318035
634,1683981.8573571984,232489.81212504528
635,1686603.8492382716,232621.17391828704
636,1689225.8411193448,232838.79924441612
637,1691847.8330004183,233056.42457054523
